nohup: ignoring input
Sanity check …
  encoded  : torch.Size([2, 16, 64, 64])  mean=0.0000  var=1.0000
  logits   : torch.Size([2, 256])
  atk grad : 1.15e-05  ✓
  L_bit    : 0.6963  L_amp : 0.0000
  Acc      : 54.3%
Sanity check passed ✓

Device     : cuda
Parameters : 2,757,297
Warmup     : 1000 epochs (no attack)
Save dir   : ./weights/
============================================================================
    Ep    Loss  L_bit  L_amp    Acc%      α   atk
============================================================================
 15200  0.0259 0.0109 0.0069  99.48% 0.2500 0.350
 15300  0.0155 0.0077 0.0065  99.78% 0.2500 0.350
 15333  0.0137 0.0071 0.0064  99.86% 0.2500 0.350 ★
 15400  0.0167 0.0127 0.0065  99.77% 0.2500 0.350
 15500  0.0211 0.0076 0.0063  99.57% 0.2500 0.350
 15600  0.0181 0.0107 0.0066  99.70% 0.2500 0.350
 15700  0.0196 0.0055 0.0063  99.64% 0.2500 0.350
 15800  0.0149 0.0063 0.0062  99.80% 0.2500 0.350
 15900  0.0216 0.0229 0.0062  99.62% 0.2500 0.350
 16000  0.0194 0.0071 0.0062  99.65% 0.2500 0.350
 16100  0.0172 0.0140 0.0062  99.74% 0.2500 0.350
 16200  0.0222 0.0109 0.0068  99.62% 0.2500 0.350
 16300  0.0185 0.0201 0.0062  99.68% 0.2500 0.350
 16400  0.0159 0.0073 0.0062  99.77% 0.2500 0.350
 16500  0.0155 0.0088 0.0063  99.78% 0.2500 0.350
 16600  0.0264 0.0225 0.0056  99.41% 0.2500 0.350
 16694  0.0131 0.0076 0.0061  99.87% 0.2500 0.350 ★
 16700  0.0140 0.0082 0.0059  99.82% 0.2500 0.350
 16800  0.0157 0.0090 0.0062  99.78% 0.2500 0.350
 16900  0.0188 0.0196 0.0056  99.65% 0.2500 0.350
 16921  0.0122 0.0064 0.0064  99.87% 0.2500 0.350 ★
 17000  0.0176 0.0077 0.0058  99.70% 0.2500 0.350
 17100  0.0163 0.0098 0.0059  99.72% 0.2500 0.350
 17200  0.0163 0.0139 0.0060  99.74% 0.2500 0.350
 17300  0.0144 0.0088 0.0061  99.79% 0.2500 0.350
 17400  0.0160 0.0100 0.0056  99.75% 0.2500 0.350
 17500  0.0242 0.0219 0.0061  99.50% 0.2500 0.350
 17600  0.0158 0.0095 0.0058  99.75% 0.2500 0.350
 17662  0.0120 0.0061 0.0060  99.88% 0.2500 0.350 ★
 17700  0.0184 0.0074 0.0064  99.70% 0.2500 0.350
 17800  0.0144 0.0077 0.0061  99.80% 0.2500 0.350
 17900  0.0189 0.0074 0.0061  99.67% 0.2500 0.350
 18000  0.0232 0.0074 0.0060  99.54% 0.2500 0.350
 18100  0.0316 0.0078 0.0058  99.25% 0.2500 0.350
 18200  0.0142 0.0087 0.0062  99.80% 0.2500 0.350
 18300  0.0186 0.0073 0.0060  99.65% 0.2500 0.350
 18400  0.0182 0.0085 0.0059  99.69% 0.2500 0.350
 18500  0.0182 0.0110 0.0059  99.66% 0.2500 0.350
 18600  0.0187 0.0068 0.0060  99.64% 0.2500 0.350
 18700  0.0149 0.0057 0.0061  99.78% 0.2500 0.350
 18800  0.0140 0.0096 0.0061  99.82% 0.2500 0.350
 18869  0.0118 0.0056 0.0056  99.89% 0.2500 0.350 ★
 18900  0.0144 0.0138 0.0060  99.77% 0.2500 0.350
 19000  0.0194 0.0097 0.0065  99.64% 0.2500 0.350
 19100  0.0216 0.0069 0.0056  99.59% 0.2500 0.350
 19200  0.0145 0.0092 0.0057  99.77% 0.2500 0.350
 19300  0.0152 0.0070 0.0063  99.77% 0.2500 0.350
 19400  0.0196 0.0076 0.0056  99.63% 0.2500 0.350
 19500  0.0139 0.0078 0.0061  99.82% 0.2500 0.350
 19600  0.0146 0.0091 0.0059  99.75% 0.2500 0.350
 19700  0.0202 0.0174 0.0055  99.61% 0.2500 0.350
 19800  0.0142 0.0082 0.0055  99.76% 0.2500 0.350
 19900  0.0150 0.0066 0.0057  99.74% 0.2500 0.350
 20000  0.0185 0.0098 0.0057  99.65% 0.2500 0.350
 20100  0.0136 0.0081 0.0057  99.80% 0.2500 0.350
 20200  0.0130 0.0058 0.0060  99.82% 0.2500 0.350
 20300  0.0183 0.0230 0.0056  99.63% 0.2500 0.350
 20400  0.0177 0.0154 0.0055  99.68% 0.2500 0.350
 20500  0.0229 0.0080 0.0057  99.51% 0.2500 0.350
 20600  0.0155 0.0054 0.0057  99.72% 0.2500 0.350
 20700  0.0199 0.0055 0.0058  99.63% 0.2500 0.350
 20800  0.0291 0.0229 0.0056  99.27% 0.2500 0.350
 20900  0.0139 0.0070 0.0068  99.83% 0.2500 0.350
